Topic,Approved Language,Avoid Saying,Business Impact,Date,Source
Commercial + decision support,Contract is signed and FC has a 24-hour decision owner through March 16.,Execution is blocked by contract or slow decisions.,Reduces delivery risk during milestone weeks.,2026-02-18,docs/plans/2026-02-18-fc-project-plan.md
MVP infrastructure,MVP runs on Vercel + Supabase.,We must wait for FC-hosted infrastructure before launch.,Team can build now and migrate later if needed.,2026-02-18,docs/plans/2026-02-18-fc-project-plan.md
Participant sign-in,USPS sends participant cohort welcome email with coach-selector link; participants enter roster-matched email only in MVP (no participant access codes and no CIL participant emails).,Participant OTP emails or individual participant access codes are required from CIL in MVP.,Fits USPS group-send workflow and FC sender constraints while keeping MVP launch scope intact.,2026-02-24,docs/drafts/2026-02-18-mvp-contract-v1.md
Coach/admin sign-in,Coaches and admins use /auth/signin and request a new magic link when needed.,Old magic-link emails should be reused forever.,Low-friction sign-in with clear repeat-login behavior.,2026-02-18,docs/drafts/2026-02-18-mvp-contract-v1.md
Coach pools,Separate pools: 15 coaches for MLP/ALP and 16 for EF/EL; no cross-pool matching in MVP.,All programs share one coach pool.,Matches FC operating model and avoids assignment drift.,2026-02-18,docs/plans/2026-02-18-fc-project-plan.md
Session outcomes + wording,Coaches log outcomes; no automatic Session 1 expiry in MVP. Forfeiture labels are locked in approved language.,System auto-forfeits sessions by deadline in MVP.,Keeps policy controlled by coaches/ops and language consistent in reporting.,2026-02-18,docs/plans/2026-02-18-fc-project-plan.md
Nudge anchor,Day 0 = cohortStartDate for selection-window timing logic.,Selection timing runs from invitation date or first login.,Keeps cohort-based timing consistent across imports and tracking.,2026-02-18,docs/drafts/2026-02-18-mvp-contract-v1.md
Capacity counting,"Coach load counts assigned and active/paused participants; invited, completed, and canceled do not count.",Invited-only or completed/canceled participants consume capacity.,Prevents overcounting and keeps assignment logic consistent.,2026-02-18,docs/plans/2026-02-18-fc-project-plan.md
EF/EL coach capacity,EF/EL coach capacity is confirmed at 20 participants per coach.,EF/EL capacity is still 15 or still pending.,Locks assignment logic and load-test assumptions for EF/EL cohorts.,2026-02-24,docs/plans/2026-02-18-fc-project-plan.md
MVP participant baseline,Planning baseline is 400 total participants across MVP cohorts.,Participant total is unknown for planning.,Stabilizes database sizing and capacity validation assumptions.,2026-02-24,docs/plans/2026-02-18-fc-project-plan.md
EF/EL reporting anchor,EF/EL reporting window is coach-selection-window start + 9 months.,EF/EL reporting anchor is still undecided.,Keeps cross-cohort reporting and deadline flagging consistent.,2026-02-24,docs/plans/2026-02-18-fc-project-plan.md
Environment isolation,Staging and production run in separate Vercel and Supabase projects with separate secrets.,One shared environment is fine for MVP.,Reduces deployment and data-leak risk during launch period.,2026-02-19,docs/briefings/2026-02-18-status-note-for-tim-implementation-readiness.md
Staging data + email safety,"Staging uses controlled data handling (sanitized-by-default for non-launch QA) plus sandboxed email mode, hard allowlist, and outbound kill switch (EMAIL_OUTBOUND_ENABLED=false).",Staging can use unrestricted outbound sends or bypass email guard checks.,Prevents accidental external sends while allowing launch-realistic staging validation when needed.,2026-02-25,docs/briefings/2026-02-24-security-overview-for-fc.md
Platform tier baseline,Use Vercel Pro + Supabase Pro for MVP launch window.,Hobby/free tiers are sufficient for production launch.,"Improves reliability, support posture, and backup/log safety for client delivery.",2026-02-19,docs/plans/2026-02-18-fc-project-plan.md
Scheduling link policy,"Coach booking links are tool-agnostic for MVP: Calendly, Acuity, or equivalent direct booking URLs are accepted.",Calendly is mandatory for every coach.,Reduces onboarding delay and keeps March 2 launch path viable.,2026-02-20,docs/plans/2026-02-18-fc-project-plan.md
Missing link handling,Coaches without active booking links may still be selected; confirmation shows coach-outreach fallback messaging and needs-attention monitoring.,Hide coaches from selection when booking links are missing.,Keeps selection breadth high while preserving a clear fallback path.,2026-02-20,docs/drafts/2026-02-18-mvp-contract-v1.md
Coach bio videos,Coach bio videos are de-scoped from MVP coach selector.,Coach selector MVP includes video bios.,Reduces content dependency and launch risk for March timeline.,2026-02-20,docs/drafts/2026-02-18-mvp-contract-v1.md
Participant context spreadsheet scope,Participant detail spreadsheets (for example FY26 ALP 136_EF 1 Coaching Bios.xlsx) are post-MVP and are not integrated into coach selector/matching logic for March launch.,Participant context spreadsheets are part of coach selector matching in MVP.,Protects launch timeline and preserves this as a Phase 2 coach-context enhancement.,2026-02-24,docs/drafts/2026-02-18-mvp-contract-v1.md
ALP-138 date correction,"ALP-138 Session 2 starts Aug 7, 2026.",Session 2 starts Aug 4 2026.,Aligns timeline logic with in-person Week 2 end date.,2026-02-20,docs/plans/2026-02-18-fc-project-plan.md
Participant communications owner,USPS sends participant welcome communication on the first day of each coach-selection window.,FC/CIL sends participant welcome messages by default.,Clarifies handoff and timing ownership for launch execution.,2026-02-20,docs/plans/2026-02-18-fc-project-plan.md
Coach access communications owner,Andrea and/or Kari send coach access instructions as soon as portal is available and before Mar 2.,Coaches wait until Mar 2 to receive access details.,Reduces coach onboarding risk before launch.,2026-02-20,docs/plans/2026-02-18-fc-project-plan.md
Use-it-or-lose-it handling,Manual handling only for ALP/MLP in MVP: no automatic lock/forfeit and use dashboard Needs Attention for ops follow-up. EF/EL does not use this model.,System automatically closes/forfeits sessions at deadline for all programs.,Keeps status control with coaches/ops and avoids false forfeits in mixed program timelines.,2026-02-24,docs/plans/2026-02-18-fc-project-plan.md
Shared outbound email guard,"All system send paths must call shared guard helpers before provider send (src/lib/email/guard.ts, src/lib/email/send-with-guard.ts).",Ad-hoc send calls without centralized safety checks.,Creates one enforceable control point for staging/prod email behavior.,2026-02-25,docs/plans/2026-02-22-environment-split-execution-runbook.md
Multi-org foundation,"Schema is multi-org ready now (single DB, strict org scoping, coach multi-org membership). USPS is the initial seeded org.",MVP schema is USPS-only and requires redesign before onboarding another organization.,Reduces Phase 2 platform expansion risk after USPS MVP launch.,2026-02-25,docs/plans/2026-02-25-supabase-schema-spec-and-field-mapping.md
